,contra_control,optrode,subject
0,0.004579350310189913,0.08216030636030618,0
1,0.0016533874463010988,0.03175252087309198,1
2,0.0013904067984278597,0.021886248113666126,2
3,0.0007264836246070119,0.005823361393177534,3
4,0.008008780279244416,0.017556710247274974,4
