,contra_control,off_induction,subject
0,1.8598317,1.8492632,0
1,1.3719795,1.1892349,1
2,1.3229418,1.099227,2
3,1.1652454,1.0942588,3
4,1.279637,1.1800728,4
5,1.317081,1.2614427,5
6,1.6461478,1.4852529,6
7,1.203877,1.1535045,7
8,1.3019793,1.1801902,8
9,1.2023975,1.1771144,9
