,freq_bin,contra_control_power,optrode_power,subject
0,14.0,1.0685673,1.0563872,0
1,14.0,1.041005,1.0330597,1
2,14.0,1.1794262,1.2022594,2
3,14.0,1.014668,1.0137415,3
4,14.0,1.1530607,1.1000856,4
0,14.5,1.0586165,1.0307238,0
1,14.5,1.0439281,1.0246402,1
2,14.5,1.1636834,1.166482,2
3,14.5,1.0186905,1.0085207,3
4,14.5,1.1628317,1.1080312,4
0,15.0,1.0416235,1.0194746,0
1,15.0,1.0358311,1.0164633,1
2,15.0,1.1393665,1.133327,2
3,15.0,1.0227396,1.020346,3
4,15.0,1.1690389,1.1221156,4
0,15.5,1.0413069,1.0368773,0
1,15.5,1.034839,1.0215359,1
2,15.5,1.1455241,1.1400232,2
3,15.5,1.0253507,1.0407605,3
4,15.5,1.1740031,1.1344485,4
0,16.0,1.0305846,1.0337771,0
1,16.0,1.025093,1.0068069,1
2,16.0,1.1578453,1.1551827,2
3,16.0,1.0251648,1.0464197,3
4,16.0,1.1972314,1.1465983,4
0,16.5,1.0146675,1.0023643,0
1,16.5,1.0153031,0.97409195,1
2,16.5,1.1642443,1.160041,2
3,16.5,1.004455,1.0194073,3
4,16.5,1.1955031,1.1378084,4
0,17.0,1.0095454,0.9929258,0
1,17.0,1.0182577,0.9517677,1
2,17.0,1.1756545,1.1689733,2
3,17.0,1.0017306,1.007931,3
4,17.0,1.200697,1.1371326,4
0,17.5,1.011985,0.9940559,0
1,17.5,1.0184616,0.9444045,1
2,17.5,1.1430869,1.1300435,2
3,17.5,1.0158563,1.0124172,3
4,17.5,1.2064009,1.1248837,4
0,18.0,1.0269492,1.0040029,0
1,18.0,1.0145395,0.956271,1
2,18.0,1.1181548,1.1070997,2
3,18.0,1.0008124,0.9986781,3
4,18.0,1.1880666,1.1219082,4
0,18.5,1.0423052,1.0401572,0
1,18.5,1.0180691,0.96786374,1
2,18.5,1.1131783,1.1061498,2
3,18.5,0.98386914,0.998862,3
4,18.5,1.1691575,1.1091189,4
0,19.0,1.0381081,1.0432712,0
1,19.0,1.022518,0.97469664,1
2,19.0,1.1087279,1.1094053,2
3,19.0,0.9705253,1.0018559,3
4,19.0,1.1796324,1.106677,4
0,19.5,1.0222883,1.024813,0
1,19.5,1.0048453,0.94928294,1
2,19.5,1.1141413,1.1089705,2
3,19.5,0.9777697,1.0055202,3
4,19.5,1.208504,1.1429629,4
