,freq_bin,contra_control_power,optrode_power,subject
5,7.5,1.1877443,1.1729157,5
6,7.5,1.1281655,1.0896786,6
7,7.5,1.312524,1.2790477,7
8,7.5,1.0522604,1.0448706,8
0,8.0,1.3188792,1.3590606,0
1,8.0,1.2386849,1.2038641,1
2,8.0,1.5160189,1.3878747,2
3,8.0,1.3689138,1.3164952,3
4,8.0,1.5132662,1.3550061,4
5,8.0,1.1677138,1.1525702,5
6,8.0,1.1374993,1.0924925,6
7,8.0,1.3401552,1.3084192,7
8,8.0,1.0523411,1.0576901,8
0,8.5,1.3067349,1.3642502,0
1,8.5,1.2464974,1.199554,1
2,8.5,1.5521938,1.4361968,2
3,8.5,1.3271445,1.3005128,3
4,8.5,1.5144631,1.3690234,4
5,8.5,1.1673812,1.1719042,5
6,8.5,1.1719601,1.115049,6
7,8.5,1.3400232,1.3145655,7
8,8.5,1.0592493,1.0720155,8
0,9.0,1.3009804,1.3594738,0
1,9.0,1.2587862,1.2116336,1
2,9.0,1.5334018,1.4240371,2
3,9.0,1.2800058,1.287937,3
4,9.0,1.4744884,1.3597363,4
5,9.0,1.1836886,1.196653,5
6,9.0,1.1773944,1.1340246,6
7,9.0,1.2987311,1.2870551,7
8,9.0,1.0743606,1.0867457,8
0,9.5,1.3069446,1.3751721,0
1,9.5,1.247727,1.2101434,1
2,9.5,1.4620788,1.336404,2
3,9.5,1.2682906,1.2564744,3
4,9.5,1.4250741,1.3410225,4
5,9.5,1.183295,1.1976169,5
6,9.5,1.1666431,1.1352743,6
7,9.5,1.2518406,1.2475939,7
8,9.5,1.0748826,1.0797974,8
0,10.0,1.3238863,1.4014227,0
1,10.0,1.2276164,1.1927284,1
2,10.0,1.393989,1.2749678,2
3,10.0,1.2836316,1.2604194,3
4,10.0,1.3630147,1.2896659,4
5,10.0,1.1828009,1.2084789,5
6,10.0,1.1528443,1.1224909,6
7,10.0,1.243921,1.2321234,7
8,10.0,1.0368996,1.0467024,8
0,10.5,1.3029444,1.3963763,0
1,10.5,1.2165279,1.1926477,1
2,10.5,1.3360122,1.2444305,2
3,10.5,1.2899653,1.2702036,3
4,10.5,1.3043263,1.2348645,4
5,10.5,1.1855084,1.1957365,5
6,10.5,1.1486406,1.11794,6
7,10.5,1.2586718,1.2307694,7
8,10.5,1.001124,1.0143318,8
0,11.0,1.2603323,1.3766644,0
1,11.0,1.2240163,1.2037851,1
2,11.0,1.293119,1.2042538,2
3,11.0,1.2777346,1.2712364,3
4,11.0,1.2655679,1.1992419,4
5,11.0,1.1955944,1.1834224,5
6,11.0,1.1275485,1.1086125,6
7,11.0,1.2404482,1.2042217,7
8,11.0,1.0105495,1.0026399,8
0,11.5,1.2636516,1.3769839,0
1,11.5,1.2165581,1.1906013,1
2,11.5,1.2674272,1.1862909,2
3,11.5,1.2775303,1.2785465,3
4,11.5,1.2490115,1.1781738,4
5,11.5,1.1980512,1.1693375,5
6,11.5,1.0910717,1.0751524,6
7,11.5,1.2085012,1.1555268,7
8,11.5,1.0144353,0.9950085,8
0,12.0,1.2652696,1.414058,0
1,12.0,1.1905131,1.174694,1
2,12.0,1.2111624,1.136805,2
3,12.0,1.2827526,1.2502136,3
4,12.0,1.2306726,1.1578343,4
5,12.0,1.192875,1.1823995,5
6,12.0,1.0962219,1.05008,6
7,12.0,1.1745243,1.1234729,7
8,12.0,0.9908875,0.9827941,8
0,12.5,1.269548,1.4237901,0
1,12.5,1.1811448,1.175607,1
2,12.5,1.1611072,1.061696,2
3,12.5,1.2704446,1.2346045,3
4,12.5,1.18926,1.1368345,4
5,12.5,1.1591239,1.1755348,5
6,12.5,1.1141901,1.059336,6
7,12.5,1.1467847,1.1086395,7
8,12.5,0.9644255,0.9649903,8
0,13.0,1.264846,1.4015415,0
1,13.0,1.1739419,1.1837083,1
2,13.0,1.1219673,1.0170752,2
3,13.0,1.2360009,1.2181749,3
4,13.0,1.1596828,1.1069949,4
5,13.0,1.1363478,1.1449085,5
6,13.0,1.1036323,1.0861923,6
7,13.0,1.1468203,1.084372,7
8,13.0,0.9404429,0.9524121,8
0,13.5,1.2437067,1.4069867,0
1,13.5,1.1729724,1.1720086,1
2,13.5,1.0882257,1.0177238,2
3,13.5,1.2133809,1.1966891,3
4,13.5,1.1463137,1.0740889,4
5,13.5,1.0961006,1.1034408,5
6,13.5,1.0859535,1.0817405,6
7,13.5,1.1349322,1.060723,7
8,13.5,0.9400495,0.9550912,8
0,14.0,1.2128342,1.4080663,0
1,14.0,1.160086,1.1423877,1
2,14.0,1.0680828,1.0033318,2
3,14.0,1.1825882,1.1485445,3
4,14.0,1.1389669,1.0487138,4
5,14.0,1.0424657,1.0568132,5
6,14.0,1.0637919,1.0183766,6
7,14.0,1.1130762,1.0565115,7
8,14.0,0.9285451,0.9387974,8
0,14.5,1.1911426,1.3867499,0
1,14.5,1.1485554,1.1367732,1
2,14.5,1.0498759,0.97270006,2
3,14.5,1.1442237,1.1009941,3
4,14.5,1.117281,1.0197313,4
5,14.5,1.0233908,1.0191758,5
6,14.5,1.054891,0.99136937,6
7,14.5,1.084213,1.0384009,7
8,14.5,0.90276694,0.9261738,8
0,15.0,1.1799682,1.3680089,0
1,15.0,1.1507577,1.1178894,1
2,15.0,1.0128428,0.9391362,2
3,15.0,1.1184839,1.0871449,3
4,15.0,1.0740191,0.9916921,4
5,15.0,1.0050071,0.9913344,5
6,15.0,1.0459424,1.0090992,6
7,15.0,1.0528933,1.0108999,7
8,15.0,0.8891893,0.9192535,8
0,15.5,1.169051,1.3488281,0
1,15.5,1.1572585,1.0923444,1
2,15.5,0.980752,0.91159713,2
3,15.5,1.0897694,1.0622938,3
4,15.5,1.036668,0.9672396,4
5,15.5,0.9881632,0.9799123,5
