,contra_control,off_induction,subject
0,0.9957075,1.0142807,0
1,1.1383759,1.1018256,1
2,0.989924,0.97373754,2
3,1.0335288,0.976305,3
4,1.1244235,1.1283484,4
5,1.0185565,1.0260632,5
6,1.0322267,0.9948346,6
7,1.017834,1.0128363,7
8,0.96930087,0.95665205,8
9,1.0222974,1.0087061,9
