,contra_control,off_induction,subject
0,0.015042371647703886,0.0039582624680329125,0
1,-0.003636671918811682,-0.014923633372521554,1
2,0.011592332268395813,-0.006083430530911166,2
3,0.0032365217636128067,-0.006366849267586972,3
4,0.0043300453659427685,-0.001552690977033297,4
5,-0.0024016393464586366,0.004168998905276601,5
6,0.0005907873123655351,0.0064204007377372,6
7,0.0019374033972062257,0.010871835669933048,7
8,-0.0032272636428546772,-0.0026667825908511292,8
9,0.013457357181449607,0.010341366750733988,9
