unit_i,unit_j,sttc_rebound,mouse,sttc_late,probe,dz
0,1,0.015335360299633127,ACR_46,0.019557711931610336,optrode,-0.004223643514107976
0,6,0.04003142061256529,ACR_46,0.041688320560247155,optrode,-0.001659671199153355
0,9,-0.008541824445911877,ACR_46,-0.013037255010620884,optrode,0.004495961533399519
1,3,0.018743269799346773,ACR_46,0.02561527547674715,optrode,-0.006875414943112296
1,5,0.038395631107954666,ACR_46,0.03628133504201944,optrode,0.0021172486473415505
1,9,0.0011593477029256142,ACR_46,0.013498063765160169,optrode,-0.012339535404612556
2,5,0.014907253967903773,ACR_46,0.01010505140790837,optrode,0.004802962997867557
2,6,0.013807470620388635,ACR_46,0.00887380720277846,optrode,0.004934308033427821
2,7,0.010202869300586266,ACR_46,0.0062446506195723665,optrode,0.003958491564408039
4,9,0.008256601184446738,ACR_46,0.028259325869295356,optrode,-0.020010063195778874
5,6,0.05506731792689614,ACR_46,0.03860740506123091,optrode,0.016496477552327478
5,7,0.04423105734047741,ACR_46,0.033789594915793766,optrode,0.010457472253619517
5,8,0.02028475791652789,ACR_46,-0.0034360003827883234,optrode,0.023723554707682438
5,9,-0.01947664261118872,ACR_46,-0.018742967315294574,optrode,-0.0007339433537080844
7,9,-0.0009270210956165755,ACR_46,-0.014330156130265911,optrode,0.013404115805283895
8,9,0.006620194806023097,ACR_46,0.0054074728007439225,optrode,0.0012127660150693673
0,4,0.027096872195137324,ACR_50,0.011616571874028078,optrode,0.015486412543706623
1,4,0.013144933401394034,ACR_50,0.014995499181349702,optrode,-0.001850932739578922
2,4,0.006753277028769005,ACR_50,6.420884705221185e-05,optrode,0.006689170849445098
5,7,0.03222235409445681,ACR_50,0.026884332645401517,optrode,0.005342700495062681
1,3,0.01419700561038529,ACR_51,0.01914349276595317,optrode,-0.004947872255289514
2,3,0.0423327746993589,ACR_51,0.013054930213659917,optrode,0.029302417657053288
0,3,0.013780200442153785,ACR_52,0.01456022613992516,optrode,-0.0007801823940416872
2,3,0.012776751725932732,ACR_52,0.01737456053720693,optrode,-0.004598862128521227
0,3,0.01521195737157651,ACR_53,0.008326333479023321,optrode,0.006886604999418648
0,5,0.012423786511310335,ACR_53,0.0065317346109627725,optrode,0.005892598273930266
0,6,0.012284733404347919,ACR_53,0.0039608588963366016,optrode,0.008324471832778436
0,7,0.0625208545800241,ACR_53,0.046135351014574735,optrode,0.016434382407036867
1,3,0.011196943241425596,ACR_53,0.0020663815203764216,optrode,0.009131026741138467
1,9,0.027585753887917404,ACR_53,0.012955855042508957,optrode,0.014636174416350237
1,10,0.013013695734328635,ACR_53,0.015426332455677233,optrode,-0.0024131258481102057
1,13,0.026114422341338945,ACR_53,0.016754192949074757,optrode,0.009364600264830214
2,6,0.008976835008940835,ACR_53,0.003928071770443253,optrode,0.005048984175378644
3,4,-0.0019178081652492067,ACR_53,-0.0011350286126911267,optrode,-0.0007827814163728138
3,9,0.020154054144424054,ACR_53,0.03217793099225254,optrode,-0.01203226020604379
3,10,0.0031089669962934656,ACR_53,0.009956428320509858,optrode,-0.006847780322094804
3,11,0.011987006091787777,ACR_53,0.012332202519509408,optrode,-0.00034524747805511277
3,12,0.004731072149158056,ACR_53,-0.0007475173142905724,optrode,0.005478624901754034
3,13,0.008047249217066501,ACR_53,-2.776947415193947e-05,optrode,0.008075192406486952
4,7,0.02862564889112952,ACR_53,0.018737344808997025,optrode,0.00989393353093507
4,9,0.028482772186856964,ACR_53,0.035037012553771174,optrode,-0.006560881849663858
4,12,0.017472435814956302,ACR_53,0.009377981241977494,optrode,0.008095957994007821
5,9,0.030429512711680057,ACR_53,0.052429146127210696,optrode,-0.02203835480591291
5,10,0.005398671858024933,ACR_53,0.003256813099086454,optrode,0.002141899694240664
5,11,0.011115548401921346,ACR_53,0.009130001170663184,optrode,0.0019857513649839207
5,12,0.0076344945082651924,ACR_53,0.002699287000431653,optrode,0.004935349283981504
5,13,0.00343921805895828,ACR_53,-2.954705165996406e-05,optrode,0.00346877867066667
6,9,0.019876465188028658,ACR_53,0.014128240859600877,optrode,0.005749902360993844
6,10,0.017010643760161436,ACR_53,0.0007633930188092708,optrode,0.01624889162261827
6,12,0.009322758094574259,ACR_53,0.004923270188921426,optrode,0.004399718233620207
