unit_i,unit_j,sttc_rebound,mouse,sttc_late,probe,dz
1,2,0.015402876458834664,ACR_17,0.027423125610320183,optrode,-0.01202590829566644
1,3,0.027062740213029554,ACR_17,0.022972843456981574,optrode,0.004092463906845416
1,4,0.029563310839287565,ACR_17,0.03773838553054705,optrode,-0.008184388313875298
2,4,0.041200262146846495,ACR_17,0.01954454046949867,optrode,0.02167656823242169
4,5,0.014259452346518221,ACR_17,0.005556252562637396,optrode,0.008704109190876053
0,1,0.027873713566506555,ACR_18,0.04142321485191115,optrode,-0.013565996029406977
0,3,0.016829758757437013,ACR_18,0.01312474323356655,optrode,0.0037058510561797983
0,4,0.027239485145309876,ACR_18,0.024730479563049183,optrode,0.002510702177503047
0,6,0.02808369597238893,ACR_18,0.02418785959811451,optrode,0.00389850430452603
0,7,0.028717443482128086,ACR_18,0.014239604274430469,optrode,0.014484774906123061
0,9,0.01581890889658095,ACR_18,0.015324641518438674,optrode,0.0004943872673320651
0,11,0.016853762200251976,ACR_18,0.013423903508394577,optrode,0.003430648308697555
0,12,0.023216705815777953,ACR_18,0.01901523865883224,optrode,0.004203347557838789
0,14,0.02447407610203116,ACR_18,0.008049268510610112,optrode,0.016429521999560198
0,15,0.010049448933749138,ACR_18,0.00419777884743755,optrode,0.005851983752431174
0,16,0.02964961167962607,ACR_18,0.02613143012109767,optrode,0.0035209240620365442
0,20,0.0013133613477128488,ACR_18,-0.0033388982723435573,optrode,0.004652272782902025
1,4,0.02377664224853288,ACR_18,0.02728380470045371,optrode,-0.003509453493355085
1,5,0.011960576207986379,ACR_18,0.012438327430872522,optrode,-0.0004778223446667458
1,6,0.009911047687816903,ACR_18,0.005629789581616908,optrode,0.004281523163342737
1,7,0.012082456661421902,ACR_18,0.008924416923421828,optrode,0.003158390804675776
1,8,0.01280892692031915,ACR_18,0.010273411678809763,optrode,0.0025358543730074345
1,9,0.007259579277584973,ACR_18,0.0025530397973493567,optrode,0.004706661467549856
1,11,0.01147307819314292,ACR_18,0.010000362247499433,optrode,0.0014728860020941422
1,13,0.005863075357363691,ACR_18,0.0021102477804741844,optrode,0.003752891628200535
1,15,0.005086100880615712,ACR_18,0.01070059785650945,optrode,-0.0056148615629250205
1,20,0.004764498433656634,ACR_18,0.003814656904709248,optrode,0.0009498590782258567
2,6,0.011869393294982503,ACR_18,0.0033885110143526583,optrode,0.008481426755281931
2,7,0.022270585256396976,ACR_18,0.013625226162335382,optrode,0.008648198850348055
2,11,0.016884600146700384,ACR_18,0.01161424555123989,optrode,0.005271437151794862
2,14,0.01716179510419463,ACR_18,0.01161253006861164,optrode,0.005550428176500893
2,20,0.0028249830062006985,ACR_18,0.001888573602529391,optrode,0.000936414673323798
3,5,0.005718437985673673,ACR_18,0.006251734223353558,optrode,-0.0005333153543471527
3,6,0.022751616369727907,ACR_18,0.016411863966828876,optrode,0.006342205562099069
3,8,0.030866847080189923,ACR_18,0.027265915223356446,optrode,0.0036039806036015434
3,10,0.10084129999998473,ACR_18,0.08730963794538091,optrode,0.01365270692553218
3,17,0.012946005260881405,ACR_18,0.007393211585179325,optrode,0.005553382286818721
3,18,0.050022320617864546,ACR_18,0.05544306829334221,optrode,-0.005435876879169806
3,19,0.009432524795705183,ACR_18,0.008902871138734163,optrode,0.0005296981887356889
3,20,-0.006020174248343632,ACR_18,-0.0069819347863481,optrode,0.0009618012614439524
4,5,0.013856782853826653,ACR_18,0.020551359690365742,optrode,-0.006696583931870103
4,7,0.04551597698251482,ACR_18,0.039427926210269734,optrode,0.006099071658746326
4,11,0.025421833398458438,ACR_18,0.023771050683526564,optrode,0.0016517823944515904
4,13,0.022288697050293006,ACR_18,0.01959857551758084,optrode,0.0026913036609927006
4,19,0.021156813102072968,ACR_18,0.033973337553797875,optrode,-0.012826446526105737
4,20,-0.00017402788327628219,ACR_18,-0.0011694128240318236,optrode,0.0009953854720667447
5,6,0.006722764886189938,ACR_18,0.010641222624614751,optrode,-0.003918758138387697
5,7,0.022122443135534103,ACR_18,0.019318847152018016,optrode,0.002804802051970194
5,9,0.014398114535833244,ACR_18,0.02346573189248828,optrode,-0.009070930780700925
5,11,0.01696350339953054,ACR_18,0.014158086970046817,optrode,0.0028060977355511916
5,15,0.006476043957531643,ACR_18,0.008867840298390765,optrode,-0.0023919382677901526
5,17,0.0023285235555062784,ACR_18,0.0029380913724413433,optrode,-0.0006095720627711815
5,18,0.051059193190335514,ACR_18,0.03928314053383328,optrode,0.011800267811710285
5,19,0.006817530172186063,ACR_18,0.006582855905974887,optrode,0.00023468480289629175
5,20,0.007492231309803712,ACR_18,-0.0004010172275220594,optrode,0.007893388752007695
6,7,0.02447897428011524,ACR_18,0.013006738075474863,optrode,0.011476393847988403
6,8,0.010074738754860545,ACR_18,0.002144488011033339,optrode,0.007930588340407316
6,10,0.057973808216865486,ACR_18,0.03775258074718579,optrode,0.020268356956240907
6,11,0.04085455521597077,ACR_18,0.030743277392574847,optrode,0.010124339497288106
6,13,0.017380303856107573,ACR_18,0.010157896974916434,optrode,0.007223807854701905
6,14,0.021301788855656006,ACR_18,0.012501324050774525,optrode,0.008803036383397902
6,15,0.007094479046436664,ACR_18,0.00041839668811798764,optrode,0.006676201363070755
6,17,0.015112797584923484,ACR_18,0.009690719212131126,optrode,0.005422925732241365
6,18,0.04305540538913429,ACR_18,0.03139592548306992,optrode,0.011675792643743556
6,19,0.008609808561485455,ACR_18,0.007062771430864399,optrode,0.0015471324447068257
6,20,0.010809264496119884,ACR_18,-0.00027419536283578017,optrode,0.011083880880880633
