unit_i,unit_j,sttc_rebound,mouse,sttc_late,probe,dz
0,2,0.0370651068192132,ACR_46,0.021442682883316418,optrode,0.015636124288065247
0,3,0.06476053612611303,ACR_46,0.047824028857349446,optrode,0.016990759260487806
0,4,0.009319388677970095,ACR_46,0.04476025815063888,optrode,-0.03547052774822743
0,5,0.09558767766633852,ACR_46,0.07193392596905535,optrode,0.023822026120524725
0,7,0.04469518657825933,ACR_46,0.07259020943244644,optrode,-0.027993130631903763
0,8,0.03315763837230727,ACR_46,0.03937088658572098,optrode,-0.006221450142287553
1,2,0.026163635040682136,ACR_46,0.004278393370232671,optrode,0.021891188000132938
1,4,0.006904905075171447,ACR_46,0.016372783202542363,optrode,-0.009469231629469641
1,6,0.0052737146763026784,ACR_46,0.016181911878133226,optrode,-0.010909560966251262
1,7,0.014579769288827586,ACR_46,0.0074461859837467795,optrode,0.00713447888491406
1,8,0.020913294506580717,ACR_46,0.012581587478110733,optrode,0.00833409281319319
2,3,0.020616360378157686,ACR_46,0.009708931543738987,optrode,0.010910045383671874
2,4,0.008373013575050534,ACR_46,0.008382351230059601,optrode,-9.338310423705198e-06
2,8,0.01900466399239624,ACR_46,0.01145796816246153,optrode,0.007548482883922606
2,9,0.0027839348032040814,ACR_46,-0.0009172855614855355,optrode,0.003701227814098591
3,4,0.018320414661879086,ACR_46,0.044916640910930374,optrode,-0.026624419291073485
3,5,0.06615289095809145,ACR_46,0.06925019510797491,optrode,-0.003111568554353572
3,6,0.018717464552483406,ACR_46,0.023430268730768714,optrode,-0.004714906847687696
3,7,0.0019533518172541856,ACR_46,-0.011345833277712401,optrode,0.013299674458857809
3,8,0.03558388054437106,ACR_46,0.03467530234188161,optrode,0.0009097009165417377
3,9,-0.0009613598599388391,ACR_46,0.0028383147975241402,optrode,-0.003799682575517569
4,5,0.003244276655797417,ACR_46,0.0420411486228727,optrode,-0.038821655541696164
4,6,0.0006933352459221592,ACR_46,0.00624938596787092,optrode,-0.005556131968981656
4,7,0.0024683409122445935,ACR_46,0.004759682407263387,optrode,-0.002291372425393094
4,8,0.0009074170916573976,ACR_46,0.027460267167757988,optrode,-0.026559755238700716
6,7,0.047190366636715164,ACR_46,0.04207011770257685,optrode,0.005130479421562972
6,8,0.002050049913766762,ACR_46,-0.003929709447315469,optrode,0.005979782461526778
6,9,-0.000443506495960875,ACR_46,-0.007101560348069343,optrode,0.006658173208983172
7,8,0.0013473944517902346,ACR_46,0.0031786059922398486,optrode,-0.0018312214301814888
0,1,0.10360958440842122,ACR_50,0.08566621751741224,optrode,0.018106033911963346
0,2,0.018583828954120828,ACR_50,-0.006711791406464312,optrode,0.025297860953636318
0,3,0.022282723029302433,ACR_50,0.0009340383066165567,optrode,0.021352373487452107
0,5,0.024435349901748588,ACR_50,0.014534244124678745,optrode,0.009904947302956234
0,6,0.041739547452618986,ACR_50,0.027445409287399816,optrode,0.014311508734042331
0,7,0.025856007471098993,ACR_50,0.013395190568036543,optrode,0.012465779823508487
1,2,0.017917890902920418,ACR_50,0.0004430935348344253,optrode,0.017476715226367606
1,3,0.012952167760478844,ACR_50,0.0047640135524364136,optrode,0.008188842518781395
1,5,0.021237250589687433,ACR_50,0.017939889794691397,optrode,0.00329862951230573
1,6,0.03040042856880592,ACR_50,0.052198906418947685,optrode,-0.021836594329881158
1,7,0.02162217422401903,ACR_50,0.017114322192616167,optrode,0.004509551342984183
2,3,0.0015545914071529096,ACR_50,-0.002845005195511908,optrode,0.004399605530934903
2,5,0.003301057362456882,ACR_50,0.0006176148780732971,optrode,0.0026834543964509823
2,6,0.008314164423816172,ACR_50,0.002172588498389239,optrode,0.006141764088175326
2,7,0.0038643672532164687,ACR_50,0.0014989989687584334,optrode,0.002365386397842337
3,4,0.0100596798423961,ACR_50,0.005129803397527055,optrode,0.0049301708050440655
3,5,0.00237920156000836,ACR_50,-0.0008207692107338148,optrode,0.0031999754443006994
3,6,0.01128853234705185,ACR_50,0.005109550452095317,optrode,0.00617941696790029
3,7,0.010704612959319541,ACR_50,0.006408794306145836,optrode,0.004296139813114005
4,5,-0.0028642918180522663,ACR_50,-0.005553687134320515,optrode,0.0026894445825164062
4,6,0.01805058674255712,ACR_50,0.027505526124104583,optrode,-0.009459918184023742
4,7,0.0038131013900461427,ACR_50,-0.002824897384412585,optrode,0.006638024769429309
5,6,0.015066983543085215,ACR_50,0.007711803482845371,optrode,0.00735616747023688
6,7,0.009622178442013895,ACR_50,0.010286529828465188,optrode,-0.0006644172474494919
0,1,0.011823729847245217,ACR_51,-0.00069324465260244,optrode,0.012517525645250802
0,2,0.009562025574977803,ACR_51,0.0021526057969786846,optrode,0.007409707895229295
0,3,0.04743081180754127,ACR_51,0.006384131700597231,optrode,0.04108220953899425
0,4,0.020459789388028993,ACR_51,0.006858140109880794,optrode,0.013604397313187282
1,2,0.0027557985148199196,ACR_51,-0.00764177492137127,optrode,0.010397729169210806
1,4,0.018742069326275625,ACR_51,0.006654731468157093,optrode,0.012089434560879339
2,4,0.010625354267555679,ACR_51,-0.0009203211268618431,optrode,0.0115460755422989
3,4,0.04560350828351883,ACR_51,0.012834016105566809,optrode,0.03280044054351847
0,1,0.02242863558391938,ACR_52,0.006099388947523102,optrode,0.01633293299387709
0,2,0.02047776617999582,ACR_52,0.008895155881029132,optrode,0.011585238776755163
1,2,0.04243080295833716,ACR_52,0.04255685434624723,optrode,-0.0001262794140331827
1,3,0.010558234013097804,ACR_52,0.008589634380278039,optrode,0.0019687807277350283
