,freq_bin,contra_control_power,optrode_power,subject
0,14.0,1.0474387,1.0483314,0
1,14.0,1.0612385,1.0284891,1
2,14.0,1.0957242,1.084927,2
3,14.0,0.99850035,1.007512,3
4,14.0,1.0856268,1.066336,4
0,14.5,1.0272945,1.0318766,0
1,14.5,1.0663687,1.0311171,1
2,14.5,1.0494058,1.0540322,2
3,14.5,1.0183498,1.0221822,3
4,14.5,1.0908663,1.0555501,4
0,15.0,0.99732065,1.0101022,0
1,15.0,1.0619301,1.0199096,1
2,15.0,1.0122337,1.0358098,2
3,15.0,1.0272235,1.0120933,3
4,15.0,1.0754011,1.0303193,4
0,15.5,0.98820543,1.000283,0
1,15.5,1.0518122,1.0073364,1
2,15.5,0.99440086,1.0085939,2
3,15.5,1.0047479,0.99923193,3
4,15.5,1.0281699,0.9980056,4
0,16.0,0.98447967,0.9866203,0
1,16.0,1.0527254,1.0026494,1
2,16.0,0.9957911,0.99261606,2
3,16.0,0.98549163,0.9772753,3
4,16.0,1.0106516,0.98662937,4
0,16.5,0.9616849,0.9642733,0
1,16.5,1.0240908,0.97650176,1
2,16.5,0.99732226,0.98683685,2
3,16.5,0.97295654,0.95001954,3
4,16.5,1.0157567,1.0004075,4
0,17.0,0.95540345,0.9657184,0
1,17.0,1.0020326,0.9474728,1
2,17.0,0.9862318,0.99386376,2
3,17.0,0.97934735,0.9506336,3
4,17.0,1.01554,0.99981266,4
0,17.5,0.9552312,0.97059834,0
1,17.5,1.0090439,0.9725029,1
2,17.5,0.98304623,0.99821293,2
3,17.5,0.9829951,0.95394,3
4,17.5,1.0039483,0.98229164,4
0,18.0,0.95318353,0.9796846,0
1,18.0,1.0139306,0.99844813,1
2,18.0,0.9898482,0.98000276,2
3,18.0,0.9927435,0.9469983,3
4,18.0,0.9920663,0.9746374,4
0,18.5,0.967583,0.99025834,0
1,18.5,0.99745715,0.979138,1
2,18.5,0.98447025,0.95839804,2
3,18.5,0.98609924,0.9259163,3
4,18.5,0.99996895,0.98605275,4
0,19.0,0.96738565,0.99273616,0
1,19.0,0.9912542,0.96018153,1
2,19.0,0.96855074,0.95826393,2
3,19.0,0.9618079,0.9228131,3
4,19.0,1.0007021,0.98803085,4
0,19.5,0.97570163,0.9864958,0
1,19.5,1.0079216,0.95500755,1
2,19.5,0.96689284,0.9730656,2
3,19.5,0.95135456,0.93211305,3
4,19.5,0.98787177,0.9902117,4
