,freq_bin,contra_control_power,optrode_power,subject
2,11.5,1.2125809,1.1003641,2
3,11.5,1.2492411,1.2836351,3
4,11.5,1.5639004,1.4124498,4
5,11.5,1.3002532,1.1986026,5
0,12.0,1.2772647,1.1796442,0
1,12.0,1.3035245,1.2871871,1
2,12.0,1.2221061,1.0905241,2
3,12.0,1.2458448,1.2837596,3
4,12.0,1.5283331,1.4259542,4
5,12.0,1.2715638,1.1751237,5
0,12.5,1.2665738,1.1815542,0
1,12.5,1.3021227,1.292415,1
2,12.5,1.2216232,1.0909828,2
3,12.5,1.2166746,1.2435344,3
4,12.5,1.4790043,1.4184986,4
5,12.5,1.2659572,1.1551958,5
0,13.0,1.2462276,1.1856728,0
1,13.0,1.275124,1.2891772,1
2,13.0,1.2236435,1.0997659,2
3,13.0,1.1758752,1.1933551,3
4,13.0,1.4487895,1.4091443,4
5,13.0,1.2595999,1.1347728,5
0,13.5,1.2376829,1.1693274,0
1,13.5,1.2177607,1.2632755,1
2,13.5,1.2318447,1.0922574,2
3,13.5,1.1668104,1.1764238,3
4,13.5,1.4669781,1.4073735,4
5,13.5,1.2377346,1.1163605,5
0,14.0,1.217252,1.1551138,0
1,14.0,1.1898724,1.235299,1
2,14.0,1.2240324,1.0441355,2
3,14.0,1.1912953,1.1889598,3
4,14.0,1.4776531,1.3847437,4
5,14.0,1.2540866,1.1284013,5
0,14.5,1.1698462,1.1193836,0
1,14.5,1.1909184,1.2185142,1
2,14.5,1.1818571,1.029424,2
3,14.5,1.1845782,1.1906501,3
4,14.5,1.4433011,1.3562787,4
5,14.5,1.2518004,1.1363696,5
0,15.0,1.1387763,1.0911909,0
1,15.0,1.1766359,1.206233,1
2,15.0,1.1538624,1.0417082,2
3,15.0,1.1515969,1.1740278,3
4,15.0,1.3697122,1.3436803,4
5,15.0,1.2419275,1.1327655,5
0,15.5,1.1436568,1.0711995,0
1,15.5,1.1635022,1.2068917,1
2,15.5,1.1624366,1.0244861,2
3,15.5,1.1215417,1.1353045,3
4,15.5,1.303949,1.3137197,4
5,15.5,1.2355363,1.1079575,5
0,16.0,1.1386745,1.0653471,0
1,16.0,1.1556315,1.2005432,1
2,16.0,1.1495155,1.0073906,2
3,16.0,1.0977215,1.1055526,3
4,16.0,1.2719269,1.2741247,4
5,16.0,1.2134204,1.0854809,5
0,16.5,1.1346425,1.0707853,0
1,16.5,1.125764,1.1543998,1
2,16.5,1.1012921,0.98583704,2
3,16.5,1.0652134,1.0876397,3
4,16.5,1.2483221,1.2431161,4
5,16.5,1.1968672,1.0824763,5
0,17.0,1.111176,1.0595909,0
1,17.0,1.1078427,1.1110562,1
2,17.0,1.0703264,0.9648106,2
3,17.0,1.0648941,1.0920932,3
4,17.0,1.2333394,1.2330498,4
5,17.0,1.2011517,1.0631108,5
0,17.5,1.0809206,1.04037,0
1,17.5,1.0784307,1.0887749,1
2,17.5,1.080541,0.9494909,2
3,17.5,1.0790915,1.116776,3
4,17.5,1.2312304,1.212767,4
5,17.5,1.2024732,1.0518034,5
0,18.0,1.0419154,1.0371847,0
1,18.0,1.0538398,1.0654663,1
2,18.0,1.0860778,0.9250334,2
3,18.0,1.0693327,1.1075289,3
4,18.0,1.217595,1.1641743,4
5,18.0,1.1853884,1.0523775,5
0,18.5,1.0254622,1.0535879,0
1,18.5,1.0453295,1.0538623,1
2,18.5,1.0801123,0.91513103,2
3,18.5,1.0657125,1.0962474,3
4,18.5,1.205351,1.140583,4
