,spin_rate,subject,cond
0,0.04886769964243146,0,circ_bl
1,0.061502530167380304,1,circ_bl
2,0.05359056806002144,2,circ_bl
3,0.027137042062415198,3,circ_bl
4,0.0651392632524708,4,circ_bl
5,0.06114327062228654,5,circ_bl
6,0.04575402635431918,6,circ_bl
7,0.03168130489335006,7,circ_bl
0,0.0,0,rebound
1,0.0002612671456564337,1,rebound
2,0.004953998584571833,2,rebound
3,0.004308916141862778,3,rebound
4,0.00013873473917869035,4,rebound
5,0.00017943656917279743,5,rebound
6,0.0,6,rebound
7,0.0,7,rebound
