,spin_rate,subject,probe
0,0.8613861386138614,0,NNXr
1,1.2829194883370958,1,NNXr
2,1.0132275132275133,2,NNXr
3,0.9435382685069009,3,NNXr
4,0.9182036888532478,4,NNXr
5,1.0841514726507715,5,NNXr
6,0.9124087591240877,6,NNXr
7,1.2181562280084448,7,NNXr
8,1.0984251968503935,8,NNXr
9,1.0783444198078345,9,NNXr
0,0.858049167327518,0,NNXo
1,1.4537885095753538,1,NNXo
2,1.0883458646616542,2,NNXo
3,1.0546448087431695,3,NNXo
4,1.0525020508613618,4,NNXo
5,1.0869822485207101,5,NNXo
6,0.913322632423756,6,NNXo
7,1.1968295904887714,7,NNXo
8,1.0305647840531562,8,NNXo
9,1.1572948328267476,9,NNXo
