,spin_rate,subject,cond
0,2.459375,0,circ_bl
1,1.7718749999999999,1,circ_bl
2,1.334375,2,circ_bl
3,1.0770833333333334,3,circ_bl
4,3.1635416666666667,4,circ_bl
5,3.09375,5,circ_bl
6,1.6697916666666666,6,circ_bl
7,1.215625,7,circ_bl
0,0.0,0,rebound
1,0.005953215207611502,1,rebound
2,0.09319510812505402,2,rebound
3,0.12618165034113304,3,rebound
4,0.009997293089601464,4,rebound
5,0.00305366259045503,5,rebound
6,0.0,6,rebound
7,0.004374464394224959,7,rebound
