,x,y,subject
0,0.24572936438127865,0.45366666666666666,0
1,0.254432665154391,0.5096666666666667,1
2,0.300634229896764,0.44866666666666666,2
3,0.2561455488171844,0.4713333333333333,3
4,0.28845886764501644,0.5826666666666667,4
5,0.29924540530530996,0.3305,5
6,0.26355261330493956,0.342,6
7,0.33373454932642005,0.7038333333333333,7
8,0.3290125457154761,0.5291666666666667,8
9,0.33132725336789964,0.3398333333333333,9
10,0.4160455534465997,0.36983333333333335,10
11,0.45345122910976343,0.5591666666666667,11
