,contra_control,off_induction,subject
0,0.46368015279069996,0.017129889268001842,0
1,0.5039170862997628,0.008320244139128276,1
2,0.5164030289400663,0.00816419213966052,2
3,0.48220333546060146,0.021557602073694598,3
4,0.6288256217222222,0.0,4
5,0.3445719456602692,0.012813753182613553,5
6,0.6618325132899349,0.0006363216940815295,6
7,0.6754495626267326,0.00253689192561297,7
8,0.63144812567187,0.002283495274365967,8
9,0.5891402014900343,0.0,9
10,0.6310578663589406,0.004250873030139668,10
11,0.6647948449511221,0.0,11
12,0.5607807111442296,0.001896285842037462,12
13,0.5439339330555555,0.0007651073382796209,13
14,0.3027707443539997,0.0013955055495903004,14
15,0.38965016496616883,0.02481882536784008,15
16,0.6635575894944857,0.0,16
17,0.6107102232511706,0.013951229072786864,17
18,0.5789395313888889,0.0,18
19,0.6203711954800332,0.000545257896527164,19
20,0.5788222756666667,0.0012483103350625106,20
21,0.6370118741994897,0.0,21
22,0.6106445992986294,0.003848597187268712,22
23,0.5095524085,0.0,23
