,state,duration,sub_type
1,NREM,0.8233863025241667,som
1,NREM,0.8005307345930556,som
1,NREM,0.8078028784858333,som
1,NREM,0.7376332484361111,som
1,NREM,0.72261377891,som
1,NREM,0.7863585747630556,som
1,NREM,0.7643888643061111,som
1,NREM,0.7014520263672223,som
2,NREM,0.7599774000377778,som
1,NREM,0.8337803141277778,som
0,NREM,0.8012221950944445,acr
2,NREM,0.7879359944666666,acr
1,NREM,0.6925335992697222,acr
0,NREM,0.6070472547741667,acr
0,NREM,0.7056223551430556,acr
1,NREM,0.6274667733388889,acr
1,NREM,0.7048805469938889,acr
1,NREM,0.7833998489380556,acr
2,NREM,0.5940306260855556,acr
1,NREM,0.8045058186852778,halo
1,NREM,0.8431304804488889,halo
1,NREM,0.7666665988497222,halo
2,NREM,0.7104164997741667,halo
1,NREM,0.7145448218455556,halo
1,NREM,0.677236531575,halo
2,NREM,0.6906533283669445,halo
2,NREM,0.7992503102619445,control
1,NREM,0.7491693390741667,control
2,NREM,0.6721439108580556,control
1,NREM,0.68264055154,control
1,NREM,0.6642919266227778,control
