,state,duration,sub_type
4,Wake,0.04755270428111111,som
5,Wake,0.0583027479375,som
6,Wake,0.050505498251111114,som
5,Wake,0.09433612717444445,som
5,Wake,0.11807214604444445,som
5,Wake,0.05608588324527778,som
4,Wake,0.08094449784972223,som
5,Wake,0.13600891113222222,som
6,Wake,0.07896116574611112,som
5,Wake,0.05016676161027778,som
3,Wake,0.06050286187138889,acr
6,Wake,0.07643893771638889,acr
5,Wake,0.17743033912472223,acr
4,Wake,0.2294751654736111,acr
3,Wake,0.1436056179477778,acr
5,Wake,0.21047473972305555,acr
5,Wake,0.08278055720805555,acr
5,Wake,0.05564990149555556,acr
7,Wake,0.18268893771666667,acr
5,Wake,0.06756096733916667,halo
5,Wake,0.05472193823916666,halo
5,Wake,0.15166673448361112,halo
6,Wake,0.20959184169666667,halo
5,Wake,0.08411650763527778,halo
4,Wake,0.2618695068363889,halo
5,Wake,0.12410211881,halo
5,Wake,0.03016657511361111,control
5,Wake,0.16216394000583334,control
5,Wake,0.12497803568916667,control
4,Wake,0.19585649164583332,control
4,Wake,0.19925830615944445,control
