,sub_type,num_ba
0,som,7
0,som,8
0,som,9
0,som,7
0,som,15
0,som,8
0,som,4
0,som,9
0,som,20
0,som,8
0,acr,1
0,acr,11
0,acr,1
0,acr,1
0,acr,0
0,acr,7
0,acr,2
0,acr,4
0,acr,5
0,halo,4
0,halo,2
0,halo,0
0,halo,14
0,halo,15
0,halo,14
0,halo,17
0,control,7
0,control,1
0,control,8
0,control,11
0,control,14
