,type,hemi,values
0,som,off-induction,"[1.61664807 1.73632197 1.43292631 1.64003583 2.16071322 1.9240603
 1.24642313 1.7897809 ]"
1,acr,off-induction,"[1.35940517 1.55722239 1.96330653 1.50042547 1.48652395 1.68584229
 2.10033108 1.62550294]"
2,control,off-induction,"[1.81601912 1.54646932 2.66140058 1.92764775 1.79336419 1.66631965
 1.51882035 1.98176425]"
0,som,contralateral,"[1.99296402 1.57701842 1.45735647 1.5060149  2.15808318 1.63165505
 1.25751978 2.67551769]"
1,acr,contralateral,"[1.59857507 1.6432449  2.24802493 1.22680737 1.41445934 1.55186265
 1.52686715 1.85368193]"
2,control,contralateral,"[1.73896944 1.52788087 2.13217943 1.94295486 1.77889701 1.73367614
 1.07253294 1.59327015]"
