,type,hemi,values
0,som,off-induction,"[0.96992771 1.13303162 1.16361177 1.49379964 1.09487956 0.96971679
 0.88806405 0.72725127]"
1,acr,off-induction,"[0.93220731 0.66932583 0.8776658  1.03638546 1.32619539 0.94691728
 0.99309558 0.92950076]"
2,control,off-induction,"[1.00468544 0.97249545 1.44823357 1.29924132 2.14227052 1.6951779
 1.77960757 1.89855883]"
0,som,contralateral,"[1.33429499 1.46953276 1.57262271 2.05065755 1.48660963 1.57347169
 1.24134001 1.48803135]"
1,acr,contralateral,"[1.30987467 1.12350995 1.59185197 1.07358767 1.59443603 1.07827283
 1.44226331 1.47372146]"
2,control,contralateral,"[0.99613844 0.87159658 1.45612706 1.33370027 1.99353083 1.61953007
 1.23775591 1.81540942]"
