,contra_control,off_induction,subject
0,1.8400619,1.4011594,0
1,2.3663788,2.0000136,1
2,1.6306838,1.4887807,2
3,2.4503875,1.8905579,3
4,1.9138471,1.7555835,4
5,1.3042496,1.2083302,5
