,freq_bin,contra_control_power,optrode_power,subject
0,7.0,1.1832838,1.230404,0
1,7.0,1.134418,1.1820188,1
2,7.0,1.0139368,1.0376011,2
3,7.0,0.99225175,0.9893155,3
4,7.0,1.2293793,1.189152,4
5,7.0,1.0406189,1.0441983,5
6,7.0,1.1752385,1.164085,6
7,7.0,0.97685444,0.9708095,7
8,7.0,1.0206522,0.9700734,8
9,7.0,1.0299267,1.0666193,9
0,7.5,1.2105405,1.2311625,0
1,7.5,1.1951209,1.2379935,1
2,7.5,1.0504385,1.0470161,2
3,7.5,1.0634323,1.0442821,3
4,7.5,1.199279,1.159773,4
5,7.5,1.0267951,1.0391349,5
6,7.5,1.1756659,1.1531961,6
7,7.5,0.97897065,0.9781159,7
8,7.5,1.0129684,0.97641635,8
9,7.5,1.077295,1.0957094,9
0,8.0,1.2247925,1.2480748,0
1,8.0,1.2552773,1.2808294,1
2,8.0,1.0794208,1.0645115,2
3,8.0,1.0910271,1.0609055,3
4,8.0,1.1719068,1.1482735,4
5,8.0,1.0222236,1.0539224,5
6,8.0,1.1588234,1.1364454,6
7,8.0,1.007461,0.99547803,7
8,8.0,1.0111917,0.99660623,8
9,8.0,1.0984329,1.1054664,9
0,8.5,1.2330236,1.2687087,0
1,8.5,1.2772225,1.303182,1
2,8.5,1.0800364,1.0666316,2
3,8.5,1.1045413,1.0822266,3
4,8.5,1.1899642,1.1679516,4
5,8.5,1.0331286,1.0636555,5
6,8.5,1.1553195,1.1436245,6
7,8.5,1.0415598,1.0287743,7
8,8.5,1.0182755,1.0322362,8
9,8.5,1.0843089,1.0920106,9
0,9.0,1.2323165,1.2558289,0
1,9.0,1.2597729,1.2974625,1
2,9.0,1.0741076,1.0717038,2
3,9.0,1.1471095,1.116957,3
4,9.0,1.1789925,1.1682299,4
5,9.0,1.0348533,1.0469822,5
6,9.0,1.1653008,1.1477813,6
7,9.0,1.07054,1.0567601,7
8,9.0,1.0443927,1.0480391,8
9,9.0,1.0808871,1.0886515,9
0,9.5,1.2042484,1.2050993,0
1,9.5,1.2673285,1.2851869,1
2,9.5,1.0887923,1.0871023,2
3,9.5,1.1579236,1.1243843,3
4,9.5,1.1521487,1.1609111,4
5,9.5,1.0605054,1.0649297,5
6,9.5,1.1713688,1.1462811,6
7,9.5,1.0792422,1.065238,7
8,9.5,1.0657128,1.0562612,8
9,9.5,1.1169513,1.1210566,9
0,10.0,1.1593056,1.1758205,0
1,10.0,1.289647,1.2966701,1
2,10.0,1.1062626,1.0884401,2
3,10.0,1.143438,1.1121188,3
4,10.0,1.151456,1.1586266,4
5,10.0,1.086136,1.0978887,5
6,10.0,1.155216,1.1384689,6
7,10.0,1.0653859,1.0698613,7
8,10.0,1.0774778,1.0668333,8
9,10.0,1.1435407,1.1534913,9
0,10.5,1.0869001,1.1368395,0
1,10.5,1.2930506,1.3039019,1
2,10.5,1.1164668,1.1001288,2
3,10.5,1.1411872,1.1063519,3
4,10.5,1.1664455,1.1663078,4
5,10.5,1.0797061,1.0993277,5
6,10.5,1.1263705,1.1158432,6
7,10.5,1.0702494,1.0820633,7
8,10.5,1.0887522,1.0791073,8
9,10.5,1.1431217,1.1463675,9
0,11.0,1.0502373,1.0966964,0
1,11.0,1.3013161,1.3197421,1
2,11.0,1.1427233,1.1279775,2
3,11.0,1.159688,1.117973,3
4,11.0,1.1722248,1.1638796,4
5,11.0,1.078682,1.105632,5
6,11.0,1.1008339,1.0847985,6
7,11.0,1.0934649,1.1062248,7
8,11.0,1.0744028,1.0840107,8
9,11.0,1.1584069,1.1562464,9
0,11.5,1.0474889,1.082823,0
1,11.5,1.3111453,1.3209555,1
2,11.5,1.1573477,1.1239501,2
3,11.5,1.1627905,1.1288213,3
4,11.5,1.1769092,1.1567409,4
5,11.5,1.0888002,1.1069528,5
6,11.5,1.0959007,1.0735368,6
7,11.5,1.1138301,1.1198517,7
8,11.5,1.0561801,1.0855355,8
9,11.5,1.170508,1.1739954,9
0,12.0,1.0772219,1.0835755,0
1,12.0,1.3070607,1.3208706,1
2,12.0,1.1388522,1.1050777,2
3,12.0,1.127464,1.097338,3
4,12.0,1.1958632,1.1802347,4
5,12.0,1.0812645,1.096749,5
6,12.0,1.1145946,1.0788116,6
7,12.0,1.144433,1.1508975,7
8,12.0,1.0419885,1.0786343,8
9,12.0,1.1467853,1.1558604,9
0,12.5,1.1002944,1.0941682,0
1,12.5,1.2994456,1.2944402,1
2,12.5,1.1228211,1.0940154,2
3,12.5,1.0988642,1.0674568,3
4,12.5,1.2022762,1.2132181,4
5,12.5,1.0774896,1.1043147,5
6,12.5,1.1285937,1.089026,6
7,12.5,1.1517462,1.1515737,7
8,12.5,1.0177526,1.0631086,8
9,12.5,1.1258742,1.1360996,9
0,13.0,1.0770069,1.1039714,0
1,13.0,1.3048698,1.2498063,1
2,13.0,1.0982144,1.0580186,2
3,13.0,1.0990567,1.0505477,3
4,13.0,1.1842153,1.2007345,4
5,13.0,1.0852766,1.1112034,5
6,13.0,1.1121767,1.0875105,6
7,13.0,1.1488554,1.1528494,7
8,13.0,0.9979239,1.0436368,8
9,13.0,1.1029979,1.105873,9
0,13.5,1.0562286,1.0798855,0
1,13.5,1.2718029,1.2220777,1
2,13.5,1.0582333,1.030719,2
3,13.5,1.0923436,1.0358399,3
4,13.5,1.1758341,1.1863772,4
5,13.5,1.07048,1.0847553,5
6,13.5,1.0790936,1.0534258,6
7,13.5,1.1324525,1.1329167,7
8,13.5,1.0063307,1.0198087,8
9,13.5,1.0780834,1.0714893,9
0,14.0,1.0474378,1.04833,0
1,14.0,1.223345,1.2036431,1
2,14.0,1.0130098,1.005321,2
3,14.0,1.060647,1.0109751,3
4,14.0,1.1729122,1.1740485,4
5,14.0,1.0510942,1.0613533,5
6,14.0,1.0612385,1.0284889,6
7,14.0,1.0957246,1.0849262,7
8,14.0,0.99850065,1.0075115,8
9,14.0,1.0833036,1.0703576,9
0,14.5,1.0272939,1.0318763,0
1,14.5,1.1972542,1.1611732,1
2,14.5,0.9977939,0.9911774,2
3,14.5,1.0375271,1.0040894,3
4,14.5,1.1719857,1.1666007,4
5,14.5,1.0384203,1.0421742,5
6,14.5,1.066368,1.0311172,6
7,14.5,1.0494056,1.0540327,7
8,14.5,1.0183499,1.0221815,8
9,14.5,1.0892721,1.0619754,9
0,15.0,0.99732023,1.0101023,0
1,15.0,1.1800506,1.1154089,1
2,15.0,1.0083967,0.98564553,2
3,15.0,1.0134326,0.9739562,3
4,15.0,1.1475474,1.1495569,4
5,15.0,1.021618,1.0351077,5
6,15.0,1.0619292,1.0199094,6
7,15.0,1.0122343,1.0358094,7
8,15.0,1.0272244,1.0120934,8
9,15.0,1.0761579,1.0388556,9
0,15.5,0.98820573,1.0002834,0
1,15.5,1.1582886,1.0725448,1
2,15.5,0.966999,0.97516966,2
3,15.5,1.0241132,0.9554165,3
4,15.5,1.1321799,1.1487434,4
5,15.5,1.0302801,1.0350221,5
6,15.5,1.051812,1.0073363,6
7,15.5,0.99440205,1.0085933,7
8,15.5,1.0047474,0.9992311,8
9,15.5,1.0309751,1.0040879,9
0,16.0,0.9844805,0.98662007,0
1,16.0,1.1441351,1.0589156,1
2,16.0,0.91487885,0.9671774,2
3,16.0,1.0382717,0.9503823,3
4,16.0,1.1355275,1.1497762,4
5,16.0,1.0292517,1.0198542,5
6,16.0,1.0527257,1.0026499,6
7,16.0,0.99579185,0.9926166,7
8,16.0,0.9854916,0.9772752,8
9,16.0,1.0130548,0.9911689,9
0,16.5,0.96168584,0.96427286,0
1,16.5,1.1410748,1.0559558,1
2,16.5,0.9150191,0.98043704,2
3,16.5,1.0149895,0.93217903,3
4,16.5,1.1524962,1.1602134,4
5,16.5,1.0130663,1.0048529,5
6,16.5,1.0240908,0.9765024,6
7,16.5,0.99732167,0.986837,7
8,16.5,0.9729567,0.9500203,8
9,16.5,1.0189458,1.0064559,9
0,17.0,0.9554034,0.96571857,0
1,17.0,1.1099237,1.0510933,1
2,17.0,0.9380914,0.97268987,2
3,17.0,1.0078489,0.9377394,3
4,17.0,1.1401416,1.1533549,4
5,17.0,0.99196804,0.9957661,5
6,17.0,1.0020324,0.94747275,6
7,17.0,0.9862317,0.99386346,7
8,17.0,0.9793473,0.950633,8
9,17.0,1.0188428,1.006744,9
0,17.5,0.9552314,0.9705979,0
1,17.5,1.079807,1.0585039,1
2,17.5,0.9545768,0.95277184,2
3,17.5,1.0135286,0.94141376,3
4,17.5,1.1141059,1.1173624,4
5,17.5,0.98209256,0.9903676,5
6,17.5,1.0090438,0.97250235,6
7,17.5,0.98304576,0.9982126,7
8,17.5,0.98299503,0.9539399,8
9,17.5,1.0067657,0.9894218,9
0,18.0,0.9531832,0.9796846,0
1,18.0,1.071966,1.055389,1
2,18.0,0.9625822,0.9574731,2
3,18.0,1.0102437,0.9400713,3
4,18.0,1.1175305,1.111949,4
5,18.0,0.98004645,0.98624444,5
6,18.0,1.0139303,0.9984483,6
7,18.0,0.9898483,0.98000216,7
8,18.0,0.9927443,0.94699895,8
9,18.0,0.9944051,0.98061496,9
0,18.5,0.96758264,0.9902581,0
1,18.5,1.072866,1.0609969,1
2,18.5,0.9415229,0.9613098,2
3,18.5,1.0140556,0.9334196,3
4,18.5,1.1371416,1.1253266,4
5,18.5,0.986542,0.9846082,5
6,18.5,0.9974575,0.9791382,6
7,18.5,0.9844707,0.9583976,7
8,18.5,0.9860995,0.9259157,8
9,18.5,1.0025421,0.9916354,9
0,19.0,0.96738595,0.992737,0
1,19.0,1.055581,1.05812,1
2,19.0,0.93341357,0.954613,2
3,19.0,1.01886,0.9391742,3
4,19.0,1.121609,1.1157387,4
5,19.0,0.9893235,0.9959462,5
6,19.0,0.99125373,0.9601814,6
7,19.0,0.9685515,0.95826393,7
8,19.0,0.9618075,0.9228127,8
9,19.0,1.0042312,0.99495727,9
0,19.5,0.97570235,0.9864952,0
1,19.5,1.0493743,1.0435101,1
2,19.5,0.9601176,0.9648416,2
3,19.5,1.0200033,0.9503651,3
4,19.5,1.092897,1.1025399,4
5,19.5,0.98578423,0.99645644,5
6,19.5,1.0079206,0.95500755,6
7,19.5,0.9668924,0.9730645,7
8,19.5,0.95135444,0.9321119,8
9,19.5,0.9905446,0.9960874,9
