,freq_bin,contra_control_power,optrode_power,subject
1,14.0,1.0671937,1.0301142,1
2,14.0,1.2037413,1.1980342,2
3,14.0,1.1674086,1.140004,3
4,14.0,1.1149617,1.0491984,4
0,14.5,0.84888273,0.8673502,0
1,14.5,1.048906,1.0223566,1
2,14.5,1.2049682,1.2162894,2
3,14.5,1.1248623,1.108208,3
4,14.5,1.0958705,1.0251584,4
0,15.0,0.834242,0.8402674,0
1,15.0,1.0765193,1.0272303,1
2,15.0,1.17407,1.1934586,2
3,15.0,1.0884387,1.0842495,3
4,15.0,1.0686971,1.0084069,4
0,15.5,0.8208059,0.82319415,0
1,15.5,1.0904323,1.0237327,1
2,15.5,1.1237334,1.1446842,2
3,15.5,1.0735465,1.0677489,3
4,15.5,1.0603801,1.0059,4
0,16.0,0.7978476,0.8240001,0
1,16.0,1.0834819,1.0120431,1
2,16.0,1.1030673,1.1272197,2
3,16.0,1.051378,1.0388448,3
4,16.0,1.0723214,1.0166981,4
0,16.5,0.79405004,0.8299235,0
1,16.5,1.0841088,1.022084,1
2,16.5,1.1096891,1.1238441,2
3,16.5,1.0247923,1.0159223,3
4,16.5,1.0821067,1.0291674,4
0,17.0,0.7963164,0.8255565,0
1,17.0,1.0541624,1.0041792,1
2,17.0,1.1215159,1.1353155,2
3,17.0,1.0256242,0.9997791,3
4,17.0,1.0638185,1.0135274,4
0,17.5,0.79184425,0.8282998,0
1,17.5,1.0156288,0.97041374,1
2,17.5,1.1251321,1.153066,2
3,17.5,1.047792,0.9934979,3
4,17.5,1.0348178,0.9845353,4
0,18.0,0.79220575,0.84472454,0
1,18.0,0.9982131,0.9717201,1
2,18.0,1.1281208,1.1541256,2
3,18.0,1.0477219,0.9980384,3
4,18.0,1.0147878,0.9550046,4
0,18.5,0.81161994,0.8511616,0
1,18.5,1.0133188,0.97512484,1
2,18.5,1.1033515,1.127064,2
3,18.5,1.0272634,0.9991412,3
4,18.5,1.0003628,0.9557636,4
0,19.0,0.8324263,0.83476204,0
1,19.0,1.031538,0.98749673,1
2,19.0,1.0835929,1.1053824,2
3,19.0,1.0276548,1.0085438,3
4,19.0,0.99564743,0.96464324,4
0,19.5,0.82207036,0.8152334,0
1,19.5,1.0337961,1.009271,1
2,19.5,1.0623888,1.0815102,2
3,19.5,1.031317,1.0195316,3
4,19.5,1.0158972,0.9894635,4
